City,Country,Population,Pop_r,Rest_count,Pop_per_rest,Rest_r,Tour_count,Tour_pop,All_per_rest
Rome,Italy,2870500,2234,10177,282,8,10065400,3.51,1271
Budapest,Hungary,1752286,3331,2750,637,5,3822800,2.18,2027
Stockholm,Sweden,961609,5140,2729,352,15,2604600,2.71,1307
Hamburg,Germany,1841179,2389,2885,638,4,1450000,0.79,1141
Bratislava,Slovakia,437725,1189,1041,420,3,1400056,3.2,1765
Munich,Germany,1471508,4713,2848,517,9,4066600,2.76,1945
Milan,Italy,1378689,7589,6668,207,37,6481300,4.7,1179
Krakow,Poland,779115,2384,1494,521,5,2732000,3.51,2350
Prague,Czech,1301132,2506,4631,281,9,8948600,6.88,2213
Oporto,Portugal,237591,5703,1829,130,44,2341300,9.85,1410
Vienna,Austria,1897491,4503,3738,508,9,6410300,3.38,2223
Ljubljana,Slovenia,284355,1736,539,528,3,1548000,5.44,3400
Amsterdam,Netherlands,872757,4768,3649,239,20,8354200,9.57,2529
Warsaw,Poland,1790658,3449,2739,654,5,2850000,1.59,1694
Oslo,Norway,673469,1483,1165,578,3,619000,0.92,1109
Copenhagen,Denmark,615993,6215,1968,313,20,3069700,4.98,1873
Dublin,Ireland,1173179,3689,2082,563,7,5213400,4.44,3068
Berlin,Germany,3644826,4088,6372,572,7,5959400,1.64,1507
Lisbon,Portugal,505526,5055,4486,113,45,3539400,7.0,902
London,England,8908081,5667,16986,524,11,19233000,2.16,1657
Paris,France,2148327,20781,15467,139,150,17560200,8.17,1274
Luxembourg,Luxembourg,115227,2240,659,175,13,1018000,8.83,1720
Zurich,Switzerland,428737,4666,1660,258,18,2240000,5.22,1608
Lyon,France,506615,10041,2666,190,53,6000000,11.84,2441
Geneva,Switzerland,200548,12589,1413,142,89,1150000,5.73,956
Madrid,Spain,3266126,5380,10112,323,17,5440100,1.67,861
Brussels,Belgium,179277,5497,3004,60,92,3942000,21.99,1372
Helsinki,Finland,655281,3058,1444,454,7,4175012,6.37,3345
Barcelona,Spain,1664182,16428,8622,193,85,6714500,4.03,972
Edinburgh,Scotland,488100,4140,1766,276,15,1660000,3.4,1216
Athens,Greece,664046,7500,2300,289,26,5728400,8.63,2779
