City;Country;Population;Pop_r;Rest_count;Pop_per_rest;Rest_r;Tour_count;Tour_pop;All_per_rest;HNADI;HNFW;Personal_earnings;Educational_attainment;Life_expectancy;Life_satisfaction;FSWAAN;Homicide_rate;GDP_per_capita
Vienna;Austria;1897491;4503;3738;508;9;6410300;3.38;2223;32544;59574;48295;85;81.3;7;80.7;0.4;43724.031
Brussels;Belgium;179277;5497;3004;60;92;3942000;21.99;1372;29968;104084;49587;75;81.1;6.9;70.7;1;40106.632
Prague;Czech;1301132;2506;4631;281;9;8948600;6.88;2213;21103;24258;23722;93;78.7;6.6;68.3;0.8;17256.918
Copenhagen;Denmark;615993;6215;1968;313;20;3069700;4.98;1873;28950;73543;52580;81;80.8;7.5;83;0.7;52114.165
London;England;8908081;5667;16986;524;11;19233000;2.16;1657;28408;83405;42835;81;81;6.7;77.4;0.2;32238
Helsinki;Finland;655281;3058;1444;454;7;4175012;6.37;3345;29374;27972;42127;88;81.6;7.5;82.9;1.4;41973.988
Paris;France;2148327;20781;15467;139;150;17560200;8.17;1274;31137;59479;42992;78;82.4;6.4;69.6;0.6;37675.006
Lyon;France;506615;10041;2666;190;53;6000000;11.84;2441;31137;59479;42992;78;82.4;6.4;69.6;0.6;37675.006
Hamburg;Germany;1841179;2389;2885;638;4;1450000;0.79;1141;33652;57358;46389;86;80.7;7;75.9;0.4;40996.511
Munich;Germany;1471508;4713;2848;517;9;4066600;2.76;1945;33652;57358;46389;86;80.7;7;75.9;0.4;40996.511
Berlin;Germany;3644826;4088;6372;572;7;5959400;1.64;1507;33652;57358;46389;86;80.7;7;75.9;0.4;40996.511
Athens;Greece;664046;7500;2300;289;26;5728400;8.63;2779;17002;18117;25124;72;81.1;5.2;61.8;1;18064.288
Budapest;Hungary;1752286;3331;2750;637;5;3822800;2.18;2027;16821;23289;21711;83;75.7;5.3;50.7;1.2;12239.894
Dublin;Ireland;1173179;3689;2082;563;7;5213400;4.44;3068;25439;43493;51681;80;81.5;7;75.5;0.6;51350.744
Rome;Italy;2870500;2234;10177;282;8;10065400;3.51;1271;26063;64019;35397;60;82.6;5.9;58.3;0.8;29866.581
Milan;Italy;1378689;7589;6668;207;37;6481300;4.70;1179;26063;64019;35397;60;82.6;5.9;58.3;0.8;29866.581
Luxembourg;Luxembourg;115227;2240;659;175;13;1018000;8.83;1720;41317;74141;62636;79;82.4;6.9;72;0.6;101994.093
Amsterdam;Netherlands;872757;4768;3649;239;20;8354200;9.57;2529;28783;90002;52833;77;81.6;7.4;81.2;0.6;43603.115
Oslo;Norway;673469;1483;1165;578;3;619000;0.92;1109;35739;20347;53643;82;82.4;7.5;87.7;0.6;74822.106
Krakow;Poland;779115;2384;1494;521;5;2732000;3.51;2350;18906;14997;25921;91;77.6;6;66.3;0.8;12495.334
Warsaw;Poland;1790658;3449;2739;654;5;2850000;1.59;1694;18906;14997;25921;91;77.6;6;66.3;0.8;12495.334
Oporto;Portugal;237591;5703;1829;130;44;2341300;9.85;1410;20519;31877;24529;47;81.2;5.2;72.1;1;19121.592
Lisbon;Portugal;505526;5055;4486;113;45;3539400;7.00;902;20519;31877;24529;47;81.2;5.2;72.1;1;19121.592
Edinburgh;Scotland;488100;4140;1766;276;15;1660000;3.40;1216;32456;92465;41335;80;82.4;6.3;77.6;0.2;37460
Bratislava;Slovakia;437725;1189;1041;420;3;1400056;3.20;1765;20265;10846;23508;92;76.7;6.1;60.1;0.8;15991.736
Ljubljana;Slovenia;284355;1736;539;528;3;1548000;5.44;3400;20505;20048;34965;87;80.9;5.8;84.7;0.6;20732.482
Madrid;Spain;3266126;5380;10112;323;17;5440100;1.67;861;23129;35443;37333;58;83;6.4;83.1;0.6;25864.721
Barcelona;Spain;1664182;16428;8622;193;85;6714500;4.03;972;23129;35443;37333;58;83;6.4;83.1;0.6;25864.721
Stockholm;Sweden;961609;5140;2729;352;15;2604600;2.71;1307;30553;90708;42816;83;82.3;7.3;75.9;1;49866.266
Zurich;Switzerland;428737;4666;1660;258;18;2240000;5.22;1608;36378;128415;60124;87;83;7.5;84;0.5;80675.308
Geneva;Switzerland;200548;12589;1413;142;89;1150000;5.73;956;36378;128415;60124;87;83;7.5;84;0.5;80675.308
